[10/17/2023 1:01:00 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:02:13 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:07:27 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:07:56 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:08:09 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:08:43 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:09:15 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:10:56 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:23:25 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:27:54 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:28:16 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:48:55 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:49:06 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:49:40 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:50:08 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:50:31 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:51:16 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:52:39 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 1:54:19 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:54:36 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:55:12 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:55:28 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:55:44 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:56:19 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 1:56:55 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
